time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445400000	7.01051	1.00618	0	0	0	lidar	1.39612e-309	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	7.01051	1.00618	0	0	0	radar	6.95323e-310	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	7.25337	1.06217	0	0	0	lidar	1.39612e-309	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	7.25337	1.06217	0	0	0	radar	6.95323e-310	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	7.50633	1.12222	0	0	0	lidar	1.39612e-309	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	7.50633	1.12222	0	0	0	radar	6.95323e-310	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	7.75442	1.18956	0	0	0	lidar	1.39612e-309	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	7.75442	1.18956	0	0	0	radar	6.95323e-310	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	7.99377	1.25086	0	0	0	lidar	1.39612e-309	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	7.99377	1.25086	0	0	0	radar	6.95323e-310	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	8.23608	1.32859	0	0	0	lidar	1.39612e-309	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	8.23608	1.32859	0	0	0	radar	6.95323e-310	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	8.47881	1.41189	0	0	0	lidar	1.39612e-309	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	8.47881	1.41189	0	0	0	radar	6.95323e-310	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	8.72053	1.49534	0	0	0	lidar	1.39612e-309	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	8.72053	1.49534	0	0	0	radar	6.95323e-310	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	8.9582	1.58746	0	0	0	lidar	1.39612e-309	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	8.9582	1.58746	0	0	0	radar	6.95323e-310	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	9.18973	1.68091	0	0	0	lidar	1.39612e-309	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	9.18973	1.68091	0	0	0	radar	6.95323e-310	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	9.41916	1.78466	0	0	0	lidar	1.39612e-309	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	9.41916	1.78466	0	0	0	radar	6.95323e-310	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	9.64388	1.8889	0	0	0	lidar	1.39612e-309	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	9.64388	1.8889	0	0	0	radar	6.95323e-310	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	9.86989	1.99261	0	0	0	lidar	1.39612e-309	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	9.86989	1.99261	0	0	0	radar	6.95323e-310	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	10.0929	2.10544	0	0	0	lidar	1.39612e-309	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	10.0929	2.10544	0	0	0	radar	6.95323e-310	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	10.3065	2.22527	0	0	0	lidar	1.39612e-309	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	10.3065	2.22527	0	0	0	radar	6.95323e-310	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	10.5176	2.34148	0	0	0	lidar	1.39612e-309	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	10.5176	2.34148	0	0	0	radar	6.95323e-310	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	10.7331	2.46246	0	0	0	lidar	1.39612e-309	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	10.7331	2.46246	0	0	0	radar	6.95323e-310	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	10.935	2.59425	0	0	0	lidar	1.39612e-309	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	10.935	2.59425	0	0	0	radar	6.95323e-310	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	11.1301	2.72594	0	0	0	lidar	1.39612e-309	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	11.1301	2.72594	0	0	0	radar	6.95323e-310	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	11.321	2.85568	0	0	0	lidar	1.39612e-309	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
