time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.17575e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.680358	0.601426	5.66904	1.71604e-17	8.9976e-18	radar	117.118	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.14477	0.50513	5.67851	-0.117148	-0.009613	lidar	0.481303	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27681	0.531766	5.66383	0.0631685	0.0179732	radar	1.82571	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.59323	0.578424	5.67386	0.104882	0.0296741	lidar	0.42843	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.83687	0.567445	5.5564	0.0485485	-0.0151096	radar	0.811562	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13604	0.59977	5.56609	0.0646175	0.00635888	lidar	0.329559	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.35352	0.644412	5.35436	0.101824	0.000634403	radar	3.11451	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62689	0.669982	5.36419	0.0976417	-0.0104344	lidar	0.0477265	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89543	0.664083	5.3575	0.0565395	-0.139151	radar	0.213417	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.13085	0.668194	5.3264	0.0458126	-0.154119	lidar	0.840747	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41905	0.5693	5.36682	-0.0948932	-0.547931	radar	2.22371	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72413	0.466729	5.42835	-0.211276	-0.792619	lidar	3.15429	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.00273	0.540222	5.43874	-0.0960822	-0.368812	radar	3.30098	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27769	0.532748	5.43868	-0.0945878	-0.320407	lidar	0.189454	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53843	0.565274	5.38924	-0.0599469	-0.211997	radar	1.40155	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73017	0.670116	5.26314	0.0380143	0.0121973	lidar	11.231	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98392	0.665774	5.21482	0.02432	-0.0175708	radar	2.06729	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
